Document,comment,stemming_str,sentiment,tfidf
ulasan 1448,Bjorka didepanmu om ded,bjorka depan om ded,netral,depan:0.7375; ded:0.4792; om:0.3949; bjorka:0.2657
ulasan 1449,"Byorka : Kalau Dia Byorka, terus Gw siapa?",byorka byorka gue,netral,byorka:0.9367; gue:0.3501
ulasan 1450,Narasumber itu adl bjorka sebenarnya 😊,narasumber bjorka,netral,narasumber:0.9303; bjorka:0.3668
ulasan 1451,"Orang kita itu lebih milih sadar kalo sudah kejadian sama dirinya, bukan belajar dari kejadian yg sudah menimpa orang lain.",orang pilih sadar kalo jadi ajar jadi timpa orang,negatif,jadi:0.5963; timpa:0.4597; orang:0.3459; pilih:0.3265; sadar:0.3039; ajar:0.2785; kalo:0.1920
ulasan 1452,Percaya gk percaya.ada info security cyber pwrbankan di indonesia itu byarany 1M perhari,percaya percayaada info security cyber pwrbankan indonesia byarany hari,netral,percayaada:0.4290; pwrbankan:0.4290; byarany:0.4290; hari:0.3766; info:0.3047; security:0.2937; cyber:0.2238; percaya:0.2183; indonesia:0.1707
ulasan 1453,Kelihatan bobroknya institusi polisi yg sering salah tangkap,bobrok institusi polisi salah tangkap,negatif,bobrok:0.6097; institusi:0.5502; salah:0.3887; tangkap:0.3190; polisi:0.2698
ulasan 1454,jepang harus lihat potensi indo yg ini,jepang lihat potensi indonesia,positif,jepang:0.6511; potensi:0.5874; lihat:0.3901; indonesia:0.2807
ulasan 1455,"segala nangkep hacker,. nangkap maling motor aja gk dapet dapet 💩",nangkep hacker nangkap maling motor,netral,motor:0.5557; maling:0.5096; nangkap:0.4235; nangkep:0.3789; hacker:0.3295
ulasan 1456,Secara gak langsung polisi jelas sangat sangat haus validasi dan pengakuan 🤣 gak kroscek sama sekali,langsung polisi haus validasi aku kroscek,positif,kroscek:0.5549; haus:0.4775; validasi:0.4620; langsung:0.3353; aku:0.3302; polisi:0.1706
ulasan 1457,"Makanya pas ada berita penangkapan bjorka kemarin gw langsung ketawa dan 100% ga percaya, krn inget dulu yg 2022 penjual es ditangkap krn diduga bjorka😂",pas berita tangkap bjorka kemarin gue langsung ketawa percaya jual es tangkap duga bjorka,positif,es:0.3781; duga:0.3426; tangkap:0.3350; pas:0.2936; kemarin:0.2880; langsung:0.2783; jual:0.2741; ketawa:0.2666; bjorka:0.2628; berita:0.2621
ulasan 1458,Wkwkwkwkwkwkwkwkkkkk,wkwkwkwkwkwkwkwkkkkk,netral,wkwkwkwkwkwkwkwkkkkk:1.0000
ulasan 1459,"""Gak tau ya, mungkin selama ini gak ada prestasi...""
Santai tp pedes...😅😅😅",tau ya prestasi santai pedas,netral,pedas:0.6144; santai:0.5543; prestasi:0.3906; tau:0.2954; ya:0.2748
ulasan 1460,"Ini baru orang benar-benar cerdas, dia tahu kelemahan masyarakat indonesia yg katanya paling ""religius"" dan mudah dikelompokkan!  Dia orang masuk ke ranah yg sensitif,  otomatis lebih aman dalam BERKONTEN YOUTUBE. .. nEtizent indonesia jadi gandrung sama Cannel ini orang karena ini orang sudah ada DIJALUR mayoritas!?!? Salut sama kecerdasan anda!!!",orang benarbenar cerdas lemah masyarakat indonesia religius mudah kelompok orang masuk ranah sensitif otomatis aman konten youtube netizent indonesia gandrung cannel orang orang jalur mayoritas salut cerdas,negatif,orang:0.3585; cerdas:0.3217; religius:0.2382; netizent:0.2382; gandrung:0.2382; cannel:0.2382; otomatis:0.2275; sensitif:0.2275; benarbenar:0.2198; ranah:0.2139
ulasan 1461,Malu-maluin negara aja institusi coklat,malumaluin negara institusi coklat,netral,malumaluin:0.6689; institusi:0.4672; coklat:0.4489; negara:0.3643
ulasan 1462,OM DED GA BAHAS TNI YANG MENINGGAL PAS ACARA HUT TNI KASIAN LOH SEMOGA ALMARHUM HUSNUL KHOTIMAH,om ded bahas tni tinggal pas acara hut tni kasihan loh moga almarhum husnul khotimah,positif,tni:0.4675; husnul:0.3210; khotimah:0.3210; hut:0.3065; almarhum:0.2883; acara:0.2635; loh:0.2337; kasihan:0.2308; moga:0.2187; tinggal:0.2140
ulasan 1463,"bang ded, coba undang PACE KOMPUTER",bang ded coba undang pace komputer,positif,pace:0.5461; komputer:0.4702; coba:0.3668; undang:0.3591; ded:0.3322; bang:0.3269
ulasan 1464,bjorka yg asli lgi ketawa sambil baca berita😂,bjorka asli ketawa baca berita,positif,baca:0.5520; ketawa:0.4773; berita:0.4693; asli:0.4380; bjorka:0.2352
ulasan 1465,Jangankan bjorka blokir pinjol aja gk bisa...😂😂😂😂,bjorka blokir pinjol,negatif,blokir:0.7153; pinjol:0.6531; bjorka:0.2486
ulasan 1466,Kedepan kalau muncul  byorka yg asli maka polisi malu gak ya😅😅Ginian harusnya pemerintah merekrut orang2 ginian yg bisa membantu sayber pemerintahan untuk membuat keamanan sayber pemerintah karena orang ini sesungguhnya sangat pintar membuat sistim program,depan muncul byorka asli polisi malu yaginian perintah rekrut orang bantu sayber perintah aman sayber perintah orang sungguh pintar sistim program,positif,sayber:0.5548; perintah:0.3887; yaginian:0.2774; sistim:0.2649; depan:0.2196; program:0.2113; orang:0.2087; sungguh:0.2048; rekrut:0.1908; muncul:0.1740
ulasan 1467,Paling suka dengar keterangan dri teguh,suka dengar terang teguh,positif,terang:0.6093; dengar:0.4860; suka:0.4687; teguh:0.4158
ulasan 1468,Plot wist nya dia bjorkanya,plot wist nya bjorkanya,netral,wist:0.6780; bjorkanya:0.5165; plot:0.4578; nya:0.2528
ulasan 1469,"FufuFAFA AJA GAK KETANGKEP,,GITU MAU NANGKEP BJORka😂😂😂😂",fufufafa ketangkepgitu nangkep bjorka,netral,ketangkepgitu:0.7964; fufufafa:0.4436; nangkep:0.3427; bjorka:0.2271
ulasan 1470,"Kalau bukan Bjorka, Berarti yang ketangkep Bjirka 😂😂",bjorka ketangkep bjirka,netral,bjirka:0.7308; ketangkep:0.6095; bjorka:0.3073
ulasan 1471,"Indonesia kebanyakan di pimpin oleh para boomer yang hidup di jaman prasasti..
Makanya susah mau aware masalah teknologi ditambah lagi pola pikir yang gak mau maju😂",indonesia banyak pimpin boomer hidup jaman prasasti susah aware teknologi tambah pola pikir maju,netral,prasasti:0.3595; aware:0.3595; pola:0.2951; tambah:0.2913; boomer:0.2789; pimpin:0.2763; maju:0.2618; hidup:0.2486; banyak:0.2486; jaman:0.2332
ulasan 1472,Polisi baca komen2 di sini ketawa gak ya?,polisi baca komen ketawa ya,positif,komen:0.5523; baca:0.5451; ketawa:0.4713; ya:0.3361; polisi:0.2504
ulasan 1473,"Jaringan itu Super-Super Simpel Karena di dalamnya sama persis kayak di dunia nyata/kehidupan manusia yang dimana di suatu jaringan ada bahasa pemrograman
 jalur IP adress Kuncinya juga ada pembuka kuncinya juga ada malingnya juga ada/pembobol server memiliki pusat /server pokoknya apa yang ada di dunia nyata itu di aplikasikan di dunia jaringan jadi mau sehebat apapun pengamanan di jaringan tidak akan bisa sampai 100% aman karena di dunia nyata aja gak bisa di klaim bisa aman 100% apalagi di dunia jaringan",jaring supersuper simpel dalam persis kayak dunia nyatakehidupan manusia mana jaring bahasa pemrograman jalur ip adress kunci buka kunci maling adapembobol server milik pusat server pokok dunia nyata aplikasi dunia jaring hebat apa aman jaring aman dunia nyata klaim aman dunia jaring,positif,jaring:0.5596; dunia:0.4488; aman:0.2576; kunci:0.2347; server:0.2156; nyata:0.2111; supersuper:0.1253; nyatakehidupan:0.1253; pemrograman:0.1253; adapembobol:0.1253
ulasan 1474,"Jaringan itu Super-Super Simpel Karena di dalamnya sama persis kayak di dunia nyata/kehidupan manusia yang dimana di suatu jaringan ada bahasa pemrograman
 jalur IP adress Kuncinya juga ada pembuka kuncinya juga ada malingnya juga ada/pembobol server memiliki pusat /server pokoknya apa yang ada di dunia nyata itu di aplikasikan di dunia jaringan jadi mau sehebat apapun pengamanan di jaringan tidak akan bisa sampai 100% aman karena di dunia nyata aja gak bisa di klaim bisa aman 100% apalagi di dunia jaringan",jaring supersuper simpel dalam persis kayak dunia nyatakehidupan manusia mana jaring bahasa pemrograman jalur ip adress kunci buka kunci maling adapembobol server milik pusat server pokok dunia nyata aplikasi dunia jaring hebat apa aman jaring aman dunia nyata klaim aman dunia jaring,positif,jaring:0.5596; dunia:0.4488; aman:0.2576; kunci:0.2347; server:0.2156; nyata:0.2111; supersuper:0.1253; nyatakehidupan:0.1253; pemrograman:0.1253; adapembobol:0.1253
ulasan 1475,"Jaringan itu Super-Super Simpel Karena di dalamnya sama persis kayak di dunia nyata/kehidupan manusia yang dimana di suatu jaringan ada bahasa pemrograman
 jalur IP adress Kuncinya juga ada pembuka kuncinya juga ada malingnya juga ada/pembobol server memiliki pusat /server pokoknya apa yang ada di dunia nyata itu di aplikasikan di dunia jaringan jadi mau sehebat apapun pengamanan di jaringan tidak akan bisa sampai 100% aman karena di dunia nyata aja gak bisa di klaim bisa aman 100% apalagi di dunia jaringan",jaring supersuper simpel dalam persis kayak dunia nyatakehidupan manusia mana jaring bahasa pemrograman jalur ip adress kunci buka kunci maling adapembobol server milik pusat server pokok dunia nyata aplikasi dunia jaring hebat apa aman jaring aman dunia nyata klaim aman dunia jaring,positif,jaring:0.5596; dunia:0.4488; aman:0.2576; kunci:0.2347; server:0.2156; nyata:0.2111; supersuper:0.1253; nyatakehidupan:0.1253; pemrograman:0.1253; adapembobol:0.1253
ulasan 1476,"Jaringan itu Super-Super Simpel Karena di dalamnya sama persis kayak di dunia nyata/kehidupan manusia yang dimana di suatu jaringan ada bahasa pemrograman
 jalur IP adress Kuncinya juga ada pembuka kuncinya juga ada malingnya juga ada/pembobol server memiliki pusat /server pokoknya apa yang ada di dunia nyata itu di aplikasikan di dunia jaringan jadi mau sehebat apapun pengamanan di jaringan tidak akan bisa sampai 100% aman karena di dunia nyata aja gak bisa di klaim bisa aman 100% apalagi di dunia jaringan",jaring supersuper simpel dalam persis kayak dunia nyatakehidupan manusia mana jaring bahasa pemrograman jalur ip adress kunci buka kunci maling adapembobol server milik pusat server pokok dunia nyata aplikasi dunia jaring hebat apa aman jaring aman dunia nyata klaim aman dunia jaring,positif,jaring:0.5596; dunia:0.4488; aman:0.2576; kunci:0.2347; server:0.2156; nyata:0.2111; supersuper:0.1253; nyatakehidupan:0.1253; pemrograman:0.1253; adapembobol:0.1253
ulasan 1477,"Jaringan itu Super-Super Simpel Karena di dalamnya sama persis kayak di dunia nyata/kehidupan manusia yang dimana di suatu jaringan ada bahasa pemrograman
 jalur IP adress Kuncinya juga ada pembuka kuncinya juga ada malingnya juga ada/pembobol server memiliki pusat /server pokoknya apa yang ada di dunia nyata itu di aplikasikan di dunia jaringan jadi mau sehebat apapun pengamanan di jaringan tidak akan bisa sampai 100% aman karena di dunia nyata aja gak bisa di klaim bisa aman 100% apalagi di dunia jaringan",jaring supersuper simpel dalam persis kayak dunia nyatakehidupan manusia mana jaring bahasa pemrograman jalur ip adress kunci buka kunci maling adapembobol server milik pusat server pokok dunia nyata aplikasi dunia jaring hebat apa aman jaring aman dunia nyata klaim aman dunia jaring,positif,jaring:0.5596; dunia:0.4488; aman:0.2576; kunci:0.2347; server:0.2156; nyata:0.2111; supersuper:0.1253; nyatakehidupan:0.1253; pemrograman:0.1253; adapembobol:0.1253
ulasan 1478,"Jaringan itu Super-Super Simpel Karena di dalamnya sama persis kayak di dunia nyata/kehidupan manusia yang dimana di suatu jaringan ada bahasa pemrograman
 jalur IP adress Kuncinya juga ada pembuka kuncinya juga ada malingnya juga ada/pembobol server memiliki pusat /server pokoknya apa yang ada di dunia nyata itu di aplikasikan di dunia jaringan jadi mau sehebat apapun pengamanan di jaringan tidak akan bisa sampai 100% aman karena di dunia nyata aja gak bisa di klaim bisa aman 100% apalagi di dunia jaringan",jaring supersuper simpel dalam persis kayak dunia nyatakehidupan manusia mana jaring bahasa pemrograman jalur ip adress kunci buka kunci maling adapembobol server milik pusat server pokok dunia nyata aplikasi dunia jaring hebat apa aman jaring aman dunia nyata klaim aman dunia jaring,positif,jaring:0.5596; dunia:0.4488; aman:0.2576; kunci:0.2347; server:0.2156; nyata:0.2111; supersuper:0.1253; nyatakehidupan:0.1253; pemrograman:0.1253; adapembobol:0.1253
ulasan 1479,"Jaringan itu Super-Super Simpel Karena di dalamnya sama persis kayak di dunia nyata/kehidupan manusia yang dimana di suatu jaringan ada bahasa pemrograman
 jalur IP adress Kuncinya juga ada pembuka kuncinya juga ada malingnya juga ada/pembobol server memiliki pusat /server pokoknya apa yang ada di dunia nyata itu di aplikasikan di dunia jaringan jadi mau sehebat apapun pengamanan di jaringan tidak akan bisa sampai 100% aman karena di dunia nyata aja gak bisa di klaim bisa aman 100% apalagi di dunia jaringan",jaring supersuper simpel dalam persis kayak dunia nyatakehidupan manusia mana jaring bahasa pemrograman jalur ip adress kunci buka kunci maling adapembobol server milik pusat server pokok dunia nyata aplikasi dunia jaring hebat apa aman jaring aman dunia nyata klaim aman dunia jaring,positif,jaring:0.5596; dunia:0.4488; aman:0.2576; kunci:0.2347; server:0.2156; nyata:0.2111; supersuper:0.1253; nyatakehidupan:0.1253; pemrograman:0.1253; adapembobol:0.1253
ulasan 1480,"Jaringan itu Super-Super Simpel Karena di dalamnya sama persis kayak di dunia nyata/kehidupan manusia yang dimana di suatu jaringan ada bahasa pemrograman
 jalur IP adress Kuncinya juga ada pembuka kuncinya juga ada malingnya juga ada/pembobol server memiliki pusat /server pokoknya apa yang ada di dunia nyata itu di aplikasikan di dunia jaringan jadi mau sehebat apapun pengamanan di jaringan tidak akan bisa sampai 100% aman karena di dunia nyata aja gak bisa di klaim bisa aman 100% apalagi di dunia jaringan",jaring supersuper simpel dalam persis kayak dunia nyatakehidupan manusia mana jaring bahasa pemrograman jalur ip adress kunci buka kunci maling adapembobol server milik pusat server pokok dunia nyata aplikasi dunia jaring hebat apa aman jaring aman dunia nyata klaim aman dunia jaring,positif,jaring:0.5596; dunia:0.4488; aman:0.2576; kunci:0.2347; server:0.2156; nyata:0.2111; supersuper:0.1253; nyatakehidupan:0.1253; pemrograman:0.1253; adapembobol:0.1253
ulasan 1481,"Jaringan itu Super-Super Simpel Karena di dalamnya sama persis kayak di dunia nyata/kehidupan manusia yang dimana di suatu jaringan ada bahasa pemrograman
 jalur IP adress Kuncinya juga ada pembuka kuncinya juga ada malingnya juga ada/pembobol server memiliki pusat /server pokoknya apa yang ada di dunia nyata itu di aplikasikan di dunia jaringan jadi mau sehebat apapun pengamanan di jaringan tidak akan bisa sampai 100% aman karena di dunia nyata aja gak bisa di klaim bisa aman 100% apalagi di dunia jaringan",jaring supersuper simpel dalam persis kayak dunia nyatakehidupan manusia mana jaring bahasa pemrograman jalur ip adress kunci buka kunci maling adapembobol server milik pusat server pokok dunia nyata aplikasi dunia jaring hebat apa aman jaring aman dunia nyata klaim aman dunia jaring,positif,jaring:0.5596; dunia:0.4488; aman:0.2576; kunci:0.2347; server:0.2156; nyata:0.2111; supersuper:0.1253; nyatakehidupan:0.1253; pemrograman:0.1253; adapembobol:0.1253
ulasan 1482,Oiya orang Kalimantan sekarang udah keluar hackernya,oiya orang kalimantan hackernya,netral,oiya:0.6345; hackernya:0.5455; kalimantan:0.4872; orang:0.2500
ulasan 1483,"Sm kyk flim The Accountant dong,,,yg dibantu oleh IT autism...",kayak flim the accountant dongyg bantu autism,negatif,flim:0.4740; dongyg:0.4740; autism:0.4526; accountant:0.3581; the:0.3042; bantu:0.2787; kayak:0.2174
ulasan 1484,"BERARTI POLISI NGAWUR DONG,,,MAKSUDNYA APA YAAA ???",polisi ngawur dongmaksudnya ya,positif,dongmaksudnya:0.7009; ngawur:0.6152; ya:0.2893; polisi:0.2155
ulasan 1485,Polisi tidur nyata dan banyak 😅,polisi tidur nyata,netral,tidur:0.6764; nyata:0.6730; polisi:0.2993
ulasan 1486,"Ladusing kaga mampu tangkap byorka krna setiap pembicaraan ladusing itu byorka udhh tw,, jadi gk mungkin mampu tangkap,, klw tangkap bandar judol kecil c bisa lah",ladusing kagak tangkap byorka bicara ladusing byorka udhh tau tangkap tangkap bandar judol sih,negatif,ladusing:0.4927; byorka:0.4417; tangkap:0.4049; udhh:0.3711; bicara:0.2607; kagak:0.2416; bandar:0.2225; judol:0.1852; tau:0.1647; sih:0.1524
ulasan 1487,"Policinya sibuk olahraga lari kalau pagi, nggak sempet belajar wkwkwk",policinya sibuk olahraga lari pagi ajar wkwkwk,netral,policinya:0.4699; olahraga:0.4487; lari:0.3857; pagi:0.3857; sibuk:0.3550; ajar:0.2847; wkwkwk:0.2708
ulasan 1488,JUDoL dong di bahas.,judol bahas,positif,bahas:0.7796; judol:0.6262
ulasan 1489,"NARASUMBER DALAM KE ADAAN TIDAK AMAN, BUKANYA DC ADALAH INTELIJEN ?",narasumber ada aman buka dc intelijen,netral,intelijen:0.5302; dc:0.4484; ada:0.4245; narasumber:0.3836; buka:0.3187; aman:0.2982
ulasan 1490,Gua yakin bjorka nonton ini sambil berak pegang hp... Dan ketawa. Ha ha hi hi..,gua bjorka tonton berak pegang hp ketawa ha ha hi hi,negatif,hi:0.5896; ha:0.5763; berak:0.3283; pegang:0.2407; hp:0.2122; ketawa:0.1900; tonton:0.1832; gua:0.1763; bjorka:0.0936
ulasan 1491,"Sekali - kali Undang Pak Jim Geovedi , dari sudut pandang dia bagaimana keamanan cyber di indonesia Om Ded",kali undang jim geovedi sudut pandang aman cyber indonesia om ded,positif,sudut:0.4121; geovedi:0.4027; jim:0.3820; pandang:0.3767; aman:0.2580; undang:0.2551; kali:0.2537; cyber:0.2394; ded:0.2360; om:0.1945
ulasan 1492,"Tapi serius komunitas hacker itu orang nya asik asik, tahun 2012-2013 tuh pernah join salah satu grup blackhat dan isinya bener bener orang ga pelit ilmu. Ilmu yg diajarin selalu dikasih catatan ""GUNAKAN DENGAN BIJAK, JANGAN DIGUNAKAN DI NEGARA SENDIRI"". Jadi aktivitas nya pernah² di pantau sama anak komunitas tersebut",serius komunitas hacker orang nya asik asik tuh join salah grup blackhat isi orang pelit ilmu ilmu ajar kasih catat bijak negara aktivitas nya pantau anak komunitas,positif,asik:0.4157; komunitas:0.3277; ilmu:0.3212; join:0.2347; blackhat:0.2347; aktivitas:0.2268; pelit:0.2207; pantau:0.2207; catat:0.2079; bijak:0.2046
ulasan 1493,"Lawakan mu sungguh lah lucu,.....",lawa mu sungguh lucu,netral,lawa:0.5726; mu:0.5462; sungguh:0.4912; lucu:0.3640
ulasan 1494,"jarang kerja, sekalinya kerja gk bnr 😅",jarang kerja sekali kerja,positif,kerja:0.6105; sekali:0.5994; jarang:0.5177
ulasan 1495,Benjamin  angel di the movie who am i yg bisa nangkep hacker ya hacker itu sendiri😂😂,benjamin angel the movie who i nangkep hacker ya hacker,positif,angel:0.4590; benjamin:0.4382; movie:0.4235; who:0.3719; hacker:0.3435; the:0.2945; nangkep:0.1975; ya:0.1895
ulasan 1496,Salah satu faktor jepang gandeng india perbanyak kehidupan di jepang,salah faktor jepang gandeng india banyak hidup jepang,negatif,jepang:0.7042; faktor:0.3643; gandeng:0.3643; india:0.2665; hidup:0.2638; banyak:0.2638; salah:0.1690
ulasan 1497,obrolan om teguh banyak chuaakkssnya  wkwkw,obrol om teguh chuaakkssnya wkwkw,netral,chuaakkssnya:0.6259; wkwkw:0.4588; obrol:0.4557; teguh:0.3461; om:0.2653
ulasan 1498,Polisi kelihatan bodohnya..,polisi bodoh,netral,bodoh:0.8848; polisi:0.4659
ulasan 1499,"WES TO PERCAYA SAYA..
BJORKA ITU ADALAH ORANG KEPOLISIAN/ARMY SENDIRI....  Yaitu Intelejen SENDIRI..

ttd ARDIAN S..hacker no WAHID INDONESIA",wes percaya bjorka orang kepolisianarmy intelejen ttd ardi shacker no wahid indonesia,positif,kepolisianarmy:0.3602; ttd:0.3602; ardi:0.3602; shacker:0.3602; wahid:0.3602; wes:0.3324; intelejen:0.3162; no:0.2401; percaya:0.1833; indonesia:0.1433
ulasan 1500,We do not own what we produce—it owns us.,we not own what we produceit owns us,netral,we:0.6313; own:0.3306; produceit:0.3306; owns:0.3306; us:0.3157; what:0.3051; not:0.2845
ulasan 1501,Ajibb . “KARNA GAK ADA PRESTASI MUNGKIN MEREKA BUTUH “. kelas BOOSss,ajib prestasi butuh kelas boosss,negatif,ajib:0.5786; boosss:0.5786; prestasi:0.3394; butuh:0.3349; kelas:0.3211
ulasan 1502,Tugasnya hanya berdiri di depan SPBU foto2,tugas diri spbu foto,negatif,spbu:0.6078; diri:0.4989; tugas:0.4487; foto:0.4246
ulasan 1503,"Jangan kan prestasi kerja nyata dan bener aja udah susah mereka lakukan.  Institusinya kaga bisa kerja sulit dipercaya .udh kebangetan bobrok. Harus di reformasi,Rusak sistemnya sudah... Dongo banget bisa kegocek anak punk. 😂",prestasi kerja nyata susah laku institusi kagak kerja sulit percaya banget bobrok reformasirusak sistem dongo banget gocek anak punk,netral,reformasirusak:0.3362; banget:0.3122; gocek:0.3102; kerja:0.3075; dongo:0.2893; sulit:0.2448; bobrok:0.2336; nyata:0.2324; kagak:0.2189; institusi:0.2108
ulasan 1504,Malu maluin kepolisan konaha😂,malu maluin polis konaha,netral,konaha:0.6306; maluin:0.4992; polis:0.4992; malu:0.3222
ulasan 1505,"Segitu parah nya instansi itu di mata rakyak, sampe hacker yg baik aja ga mau nolong ketika dia di obok² datanya, malah di anggap hiburan 😂😂😂😂",segitu parah nya instansi mata rakyak hacker nolong obok data anggap hibur,negatif,rakyak:0.3942; nolong:0.3764; obok:0.3638; segitu:0.3392; hibur:0.2932; parah:0.2890; anggap:0.2852; mata:0.2662; instansi:0.2318; data:0.1917
ulasan 1506,Pelayan kita memang lebih pinter ngelawak daripada ngejalani tugas,layan pintar lawak ngejalani tugas,negatif,ngejalani:0.5900; layan:0.4843; tugas:0.4356; lawak:0.3604; pintar:0.3124
ulasan 1507,"Ini nih saya lagi mau belajar ,hidup IT",nih ajar hidup,netral,hidup:0.6550; ajar:0.5740; nih:0.4914
ulasan 1508,"Om ded coba tanya narsumnya,pernah ditangkap FBI / CIA belum...",om ded coba narsumnyapernah tangkap fbi cia,negatif,narsumnyapernah:0.5441; cia:0.5022; fbi:0.4308; coba:0.3090; ded:0.2799; om:0.2306; tangkap:0.1979
ulasan 1509,Paling suka menit 46 detik 13😂😂😂,suka menit detik,netral,detik:0.6778; suka:0.5214; menit:0.5183
ulasan 1510,Mantap bos dedi,mantap bos dedi,positif,bos:0.5912; mantap:0.5703; dedi:0.5703
ulasan 1511,"Polisi kita itu banyak yg bodoh
Terutama yg cuma tamat SMA tes , masuk .. tanpa kemampuan
Gaji gede 
Sementara ank kuliah S1
Sulit cari kerja",polisi bodoh tamat tes masuk mampu gaji gede anak kuliah si sulit cari kerja,negatif,tes:0.3676; tamat:0.3360; kuliah:0.3176; si:0.3176; sulit:0.2981; gede:0.2875; gaji:0.2790; mampu:0.2507; bodoh:0.2391; masuk:0.2320
ulasan 1512,"Kalau soal salah tangkap itu sudah hal biasa di kepolisian indonesia, bukan polisi indonesia kalau tidak salah tangkap😅",salah tangkap polisi indonesia polisi indonesia salah tangkap,negatif,salah:0.5810; indonesia:0.5218; tangkap:0.4769; polisi:0.4033
ulasan 1513,Polisi berperestasi! bntr2 gw numpang ketawa dulu behahahaha..,polisi berperestasi bentar gue numpang ketawa behahahaha,positif,berperestasi:0.4772; behahahaha:0.4772; numpang:0.4557; bentar:0.4404; ketawa:0.2762; gue:0.2123; polisi:0.1467
ulasan 1514,knp lara hacker ngk mau bobol apk PINJOL,lara hacker bobol apk pinjol,negatif,lara:0.6111; apk:0.4580; pinjol:0.4580; bobol:0.3935; hacker:0.2287
ulasan 1515,"Bjorka muncul lgi STLH bjorka punk ditangkap,bjorka muncul akan bocorkan tentang BGN yg sansitif",bjorka muncul bjorka punk ditangkapbjorka muncul bocor bgn sansitif,negatif,muncul:0.5345; ditangkapbjorka:0.4262; sansitif:0.4262; bgn:0.3827; bocor:0.2795; punk:0.2596; bjorka:0.2431
ulasan 1516,kalo bener bearti 2 kali salah tangkep bjorka. udahlah buang buang waktu.  😂,kalo bearti kali salah tangkap bjorka buang buang,negatif,buang:0.7884; bearti:0.4302; kali:0.2577; salah:0.2065; kalo:0.1947; tangkap:0.1695; bjorka:0.1329
ulasan 1517,"Anak""pintar bukan dipelihara negara,yg dipelihara koruptor😅",anakpintar pelihara negarayg pelihara koruptor,positif,pelihara:0.6695; anakpintar:0.4817; negarayg:0.4817; koruptor:0.2959
ulasan 1518,biorka itu orang bali,biorka orang bal,netral,bal:0.7451; biorka:0.5894; orang:0.3122
ulasan 1519,"Bisa dibilang memang benar dengan statement tentang kualitas tim cyber kepolisian, karena dlupun pernah ada kasus komunitas SBH yg tertangkap dengan 700 bawahan karena laporan FBI ke Kepolisian Indonesia dengan lokasi terkini di Surabaya",bilang statement kualitas tim cyber polisi dlupun komunitas sbh tangkap bawah lapor fbi polisi indonesia lokasi kini surabaya,positif,dlupun:0.3226; sbh:0.3226; kini:0.3226; statement:0.2977; surabaya:0.2776; lokasi:0.2728; fbi:0.2554; bawah:0.2502; kualitas:0.2334; tim:0.2198
ulasan 1520,"cobaq semua hekker di jadikan ASN
bisa masuk polisi TNI dan staf negara",cobaq hekker jadi asn masuk polisi tni staf negara,negatif,cobaq:0.4327; staf:0.4132; hekker:0.4132; asn:0.4132; tni:0.3151; jadi:0.2806; masuk:0.2453; negara:0.2116; polisi:0.1330
ulasan 1521,"Ya ngga tau ya , mungkin karena gk ada prestasi selama ini jadi mungkin Butuh ya 😂🤣🤣🤣",ya tau ya prestasi butuh ya,positif,ya:0.7978; prestasi:0.3779; butuh:0.3729; tau:0.2859
ulasan 1522,SALAH TANGKAP.. MAU TARUH DIMANA ITU MUKA.. PAK POL😂😂😂😂,salah tangkap taruh mana muka pol,negatif,taruh:0.5656; muka:0.4455; pol:0.4332; mana:0.3969; salah:0.2855; tangkap:0.2343
ulasan 1523,polisi adalah institusi paling tidak berguna. .,polisi institusi guna,positif,guna:0.6728; institusi:0.6642; polisi:0.3257
ulasan 1524,Pegasus israel😂🤣🤣,pegasus israel,netral,pegasus:0.7406; israel:0.6720
ulasan 1525,"Yakin? Personilnya saja banyak yg kepilih hasil dari jual sawah, bukan krn SDM, trs klaim bisa nangkep Bjorka😂. Koplak koplak...",personilnya pilih hasil jual sawah sdm klaim nangkep bjorka kocak kocak,negatif,kocak:0.5194; personilnya:0.4191; sawah:0.3284; klaim:0.3166; sdm:0.2995; pilih:0.2977; jual:0.2494; hasil:0.2431; nangkep:0.1804; bjorka:0.1196
ulasan 1526,Ngakak emang ya dengernya..,akak ya dengernya,positif,dengernya:0.7643; akak:0.5407; ya:0.3513
ulasan 1527,BJORKA BOCORKAN DATA IJAZAH PEJABAT 👍,bjorka bocor data ijazah jabat,negatif,ijazah:0.5546; bocor:0.5262; jabat:0.4594; data:0.3901; bjorka:0.2288
ulasan 1528,Sumph dri dulu polisi smpek skrng gk ad kualitas nya. Gmna mau kualitas. Org lulusan rendah dan gk usah pinter. Yg penting duit cair bisa jdi polisi.,sumph polisi smpek kualitas nya kualitas orang lulus rendah pintar duit cair polisi,positif,kualitas:0.5434; sumph:0.3756; smpek:0.3756; cair:0.3176; rendah:0.2773; lulus:0.2493; polisi:0.2310; duit:0.2241; pintar:0.1989; orang:0.1413
ulasan 1529,efek reformasi kepolisian,efek reformasi polisi,positif,efek:0.7271; reformasi:0.6318; polisi:0.2685
