comment,case_folding,cleansing
Lu percaya anak lulusan sma bisa nangkep hacker kelas kakap? Ngimpi 😂,lu percaya anak lulusan sma bisa nangkep hacker kelas kakap? ngimpi 😂,lu percaya anak lulusan sma bisa nangkep hacker kelas kakap ngimpi
chatting jalan senyap : lewat marketplace wkwkwk,chatting jalan senyap : lewat marketplace wkwkwk,chatting jalan senyap lewat marketplace wkwkwk
Bjorka mimpi maling motor aja 6 th baru ketemu,bjorka mimpi maling motor aja 6 th baru ketemu,bjorka mimpi maling motor aja th baru ketemu
Plot twist nya bjorka nya aslinya adalah teguh aprianto yang diajak deddy corbuzier podcast sekarang.:v,plot twist nya bjorka nya aslinya adalah teguh aprianto yang diajak deddy corbuzier podcast sekarang.:v,plot twist nya bjorka nya aslinya adalah teguh aprianto yang diajak deddy corbuzier podcast sekarangv
lucu ya polisi indonesia,lucu ya polisi indonesia,lucu ya polisi indonesia
buru fufufafa dulu deh😅😅😅,buru fufufafa dulu deh😅😅😅,buru fufufafa dulu deh
"Dari awal juga udh nyangka,itu tuh bukan dia,paling cuma repost kontennya si bjorka asli.","dari awal juga udh nyangka,itu tuh bukan dia,paling cuma repost kontennya si bjorka asli.",dari awal juga udh nyangkaitu tuh bukan diapaling cuma repost kontennya si bjorka asli
"Tajam sekali kata² teguh ""tidak ada prestasi, mungkin butuh prestasi"".😂","tajam sekali kata² teguh ""tidak ada prestasi, mungkin butuh prestasi"".😂",tajam sekali kata teguh tidak ada prestasi mungkin butuh prestasi
kalo di konoha sebelum dan sesudahnya di hack wkwkwk hebatnya negeri konoha,kalo di konoha sebelum dan sesudahnya di hack wkwkwk hebatnya negeri konoha,kalo di konoha sebelum dan sesudahnya di hack wkwkwk hebatnya negeri konoha
"klo bener pasti tu coklat dibantu berhubung gak bener bener jadi orang baikpun ragu buat bantu ,,,","klo bener pasti tu coklat dibantu berhubung gak bener bener jadi orang baikpun ragu buat bantu ,,,",klo bener pasti tu coklat dibantu berhubung gak bener bener jadi orang baikpun ragu buat bantu
1 Thun yang lalu tukang jual es ditangkap kalo gak salah,1 thun yang lalu tukang jual es ditangkap kalo gak salah,thun yang lalu tukang jual es ditangkap kalo gak salah
Wah baru kemarin itu saya hampir kena penipuan di telegram,wah baru kemarin itu saya hampir kena penipuan di telegram,wah baru kemarin itu saya hampir kena penipuan di telegram
ngebongkar pemilik akun fufufafa aja ga bisa. trs lu percaya bs nangkep bjorka?,ngebongkar pemilik akun fufufafa aja ga bisa. trs lu percaya bs nangkep bjorka?,ngebongkar pemilik akun fufufafa aja ga bisa trs lu percaya bs nangkep bjorka
"Dikira masyarakat masih gaptek, cik cik😂😂😂😂😂😂😂😂😂😂","dikira masyarakat masih gaptek, cik cik😂😂😂😂😂😂😂😂😂😂",dikira masyarakat masih gaptek cik cik
"Mau masuk polisi aja harus jual tanah bukan jual prestasi jadi maklum aja kalok dungu semua isinya pandai nya mengakali dan ikut""an jadi mafia dalam negri sendiri","mau masuk polisi aja harus jual tanah bukan jual prestasi jadi maklum aja kalok dungu semua isinya pandai nya mengakali dan ikut""an jadi mafia dalam negri sendiri",mau masuk polisi aja harus jual tanah bukan jual prestasi jadi maklum aja kalok dungu semua isinya pandai nya mengakali dan ikutan jadi mafia dalam negri sendiri
Bjorka kebangetan ngeliatin masyarakat isi otak satu istansi,bjorka kebangetan ngeliatin masyarakat isi otak satu istansi,bjorka kebangetan ngeliatin masyarakat isi otak satu istansi
Emang IT di Pemerintah ada yg kompeten kah??? 😂😂😂,emang it di pemerintah ada yg kompeten kah??? 😂😂😂,emang it di pemerintah ada yg kompeten kah
Tai...!!! Bodo amat....!!!!,tai...!!! bodo amat....!!!!,tai bodo amat
Asal tangkap ajah,asal tangkap ajah,asal tangkap ajah
"Dari sini gua baru sadar anak Indonesia banyak yg pintar tapi tidak di hargai... 
Menyedihkannya negaraku😭😭😭","dari sini gua baru sadar anak indonesia banyak yg pintar tapi tidak di hargai... 
menyedihkannya negaraku😭😭😭",dari sini gua baru sadar anak indonesia banyak yg pintar tapi tidak di hargai menyedihkannya negaraku
Bjorka.... 😂😂....ngakak... Liatnya,bjorka.... 😂😂....ngakak... liatnya,bjorka ngakak liatnya
Bjorka lagi nonton podcast ini...dan saya minta untuk bjorka dmna pun dia siapa pun dia...saya minta buka data2 pejabat2 korupsi di indonesia...siapa dan di lembaga apa...teimksh,bjorka lagi nonton podcast ini...dan saya minta untuk bjorka dmna pun dia siapa pun dia...saya minta buka data2 pejabat2 korupsi di indonesia...siapa dan di lembaga apa...teimksh,bjorka lagi nonton podcast inidan saya minta untuk bjorka dmna pun dia siapa pun diasaya minta buka data pejabat korupsi di indonesiasiapa dan di lembaga apateimksh
Hihihihihihi,hihihihihihi,hihihihihihi
"Jadi inget film ""Who am i""  no system is safe... 

Sampe endingnya bisa ngehack otak penyidik europol nya","jadi inget film ""who am i""  no system is safe... 

sampe endingnya bisa ngehack otak penyidik europol nya",jadi inget film who am i no system is safe sampe endingnya bisa ngehack otak penyidik europol nya
"Orang Indonesia tuh pinter"" Tapi karena kurang dilirik, dan yg dapet kedudukan ordal. Jadi akhirnya mereka bawa kepinteran mereka ke jalan yg salah","orang indonesia tuh pinter"" tapi karena kurang dilirik, dan yg dapet kedudukan ordal. jadi akhirnya mereka bawa kepinteran mereka ke jalan yg salah",orang indonesia tuh pinter tapi karena kurang dilirik dan yg dapet kedudukan ordal jadi akhirnya mereka bawa kepinteran mereka ke jalan yg salah
"Gue pernah di tipu di telegram 
Eh malah kebalikni.jadi ceritanya gini pas gue di screenshot akun Instagram yang sudah follow pas gue folow terus di kirim uang 25 pertama terus sampai selanjutnya 25 lagi eh pas yang udah gede di suruh kirim uang gue blokir orangnya dan syukur gue dapet 50 ribu 😂😂😂😂😂lucu kan","gue pernah di tipu di telegram 
eh malah kebalikni.jadi ceritanya gini pas gue di screenshot akun instagram yang sudah follow pas gue folow terus di kirim uang 25 pertama terus sampai selanjutnya 25 lagi eh pas yang udah gede di suruh kirim uang gue blokir orangnya dan syukur gue dapet 50 ribu 😂😂😂😂😂lucu kan",gue pernah di tipu di telegram eh malah kebaliknijadi ceritanya gini pas gue di screenshot akun instagram yang sudah follow pas gue folow terus di kirim uang pertama terus sampai selanjutnya lagi eh pas yang udah gede di suruh kirim uang gue blokir orangnya dan syukur gue dapet ribu lucu kan
"Lah polisi tangkap pelaku yang udah tau Muka dari CCTV aja susah .....
🤣🤣🤣","lah polisi tangkap pelaku yang udah tau muka dari cctv aja susah .....
🤣🤣🤣",lah polisi tangkap pelaku yang udah tau muka dari cctv aja susah
"habis nonton di kamar jeri ttg bjorka, dapat jwbn","habis nonton di kamar jeri ttg bjorka, dapat jwbn",habis nonton di kamar jeri ttg bjorka dapat jwbn
Bjorka : Kocak gimang 😂😂,bjorka : kocak gimang 😂😂,bjorka kocak gimang
Dengerin di 13:58 😂,dengerin di 13:58 😂,dengerin di
sejago apapun elu .kalo bukan sodara lu yg di instansi..lu bukan apa2.. di Indonesia ini bukan kehebatan yg diperlukan..memperkaya soadara itu paling wajib.,sejago apapun elu .kalo bukan sodara lu yg di instansi..lu bukan apa2.. di indonesia ini bukan kehebatan yg diperlukan..memperkaya soadara itu paling wajib.,sejago apapun elu kalo bukan sodara lu yg di instansilu bukan apa di indonesia ini bukan kehebatan yg diperlukanmemperkaya soadara itu paling wajib
Betul..dia bukan ahli. Makanya alasan polisi dia anak IT otodidak. Biar klu bego jd wajar. Dan biar org yg percaya..polisi aja lagi sandiwara 😅,betul..dia bukan ahli. makanya alasan polisi dia anak it otodidak. biar klu bego jd wajar. dan biar org yg percaya..polisi aja lagi sandiwara 😅,betuldia bukan ahli makanya alasan polisi dia anak it otodidak biar klu bego jd wajar dan biar org yg percayapolisi aja lagi sandiwara
semakin keliatan kan kualitas ladusing seperti apa ..... 🤏🧠,semakin keliatan kan kualitas ladusing seperti apa ..... 🤏🧠,semakin keliatan kan kualitas ladusing seperti apa
Bukan lo kan bro bjorka nya 😊,bukan lo kan bro bjorka nya 😊,bukan lo kan bro bjorka nya
yang asli nonggol lah..tunjukan kalau asli,yang asli nonggol lah..tunjukan kalau asli,yang asli nonggol lahtunjukan kalau asli
Polisi kita cuman bisa nangkap maling sendal,polisi kita cuman bisa nangkap maling sendal,polisi kita cuman bisa nangkap maling sendal
Bukan dikadalin tetapi emang kadal 😀😀😀,bukan dikadalin tetapi emang kadal 😀😀😀,bukan dikadalin tetapi emang kadal
Nhiburan ngak menhibur jangan percaya,nhiburan ngak menhibur jangan percaya,nhiburan ngak menhibur jangan percaya
Chat di mobile legend lebih seru dan aman,chat di mobile legend lebih seru dan aman,chat di mobile legend lebih seru dan aman
Gimana kalo pake meet,gimana kalo pake meet,gimana kalo pake meet
polisi tidur ajah ngribetin apalagi bangun,polisi tidur ajah ngribetin apalagi bangun,polisi tidur ajah ngribetin apalagi bangun
"Polisi itu gimana sih, kok bisa nyebut itu bjorka?!?!?!","polisi itu gimana sih, kok bisa nyebut itu bjorka?!?!?!",polisi itu gimana sih kok bisa nyebut itu bjorka
22:26 ini persis kaya di film the accountant sama the accountant 2. ternyata si pemeran utama punya hacker dari jarak jauh dan si hacker ini semua nya anak anak berkebutuhan khusus.,22:26 ini persis kaya di film the accountant sama the accountant 2. ternyata si pemeran utama punya hacker dari jarak jauh dan si hacker ini semua nya anak anak berkebutuhan khusus.,ini persis kaya di film the accountant sama the accountant ternyata si pemeran utama punya hacker dari jarak jauh dan si hacker ini semua nya anak anak berkebutuhan khusus
Polisi jangankan kemampuan hacking investigasi pengetahuan tentang knalpot standar bawaan moge aja gak mampu 😂😂,polisi jangankan kemampuan hacking investigasi pengetahuan tentang knalpot standar bawaan moge aja gak mampu 😂😂,polisi jangankan kemampuan hacking investigasi pengetahuan tentang knalpot standar bawaan moge aja gak mampu
"siapa disini yang suka make apk mood, seperti wa,Ig,tiktok,tele,dll??","siapa disini yang suka make apk mood, seperti wa,ig,tiktok,tele,dll??",siapa disini yang suka make apk mood seperti waigtiktokteledll
Klo mau ikut kursus ethical hacker daftarnya dimana ya,klo mau ikut kursus ethical hacker daftarnya dimana ya,klo mau ikut kursus ethical hacker daftarnya dimana ya
Bjorka komen dong,bjorka komen dong,bjorka komen dong
"RENDAH SERENDAH RENDAH NYA INSTANSI NYA !! YANG MENYEBUT ITU "" BJORKA""","rendah serendah rendah nya instansi nya !! yang menyebut itu "" bjorka""",rendah serendah rendah nya instansi nya yang menyebut itu bjorka
YANH DI TANGKEP BJIRKA😂,yanh di tangkep bjirka😂,yanh di tangkep bjirka
"Jangan berharap dengan anak sma untuk menangkap hacker,, beda class 😅😅","jangan berharap dengan anak sma untuk menangkap hacker,, beda class 😅😅",jangan berharap dengan anak sma untuk menangkap hacker beda class
Jika polri belum paham Memecahkan arti... 0+0=1 jangan pernah mimpi ketemu BJORKA😢,jika polri belum paham memecahkan arti... 0+0=1 jangan pernah mimpi ketemu bjorka😢,jika polri belum paham memecahkan arti jangan pernah mimpi ketemu bjorka
"Gimana kalo kemungkinan bjorka ini aktor, maksudnya ya dia sebagai identitas aja,dan apa yang bjorka dapet selama ini dari sebuah jaringan atau kelompok tertentu, istilahnya bjorka ini semacam platform lah gitu","gimana kalo kemungkinan bjorka ini aktor, maksudnya ya dia sebagai identitas aja,dan apa yang bjorka dapet selama ini dari sebuah jaringan atau kelompok tertentu, istilahnya bjorka ini semacam platform lah gitu",gimana kalo kemungkinan bjorka ini aktor maksudnya ya dia sebagai identitas ajadan apa yang bjorka dapet selama ini dari sebuah jaringan atau kelompok tertentu istilahnya bjorka ini semacam platform lah gitu
Heee😂😂😂😂😂,heee😂😂😂😂😂,heee
Akwowkw anak punk di tuduh 😂,akwowkw anak punk di tuduh 😂,akwowkw anak punk di tuduh
Seru juga jd hacker yaa...,seru juga jd hacker yaa...,seru juga jd hacker yaa
17:50 polisinya sakit hati sih denger ini 😂,17:50 polisinya sakit hati sih denger ini 😂,polisinya sakit hati sih denger ini
Masih percaya sama Ladusing ? 🤣🤣🤣,masih percaya sama ladusing ? 🤣🤣🤣,masih percaya sama ladusing
Ada anak Indonesia yang berhasil menang dalam lomba membobol security nasa (ini perlombaan resmi dari nasa) tapi gak dapet spotlight dari halayak ramai,ada anak indonesia yang berhasil menang dalam lomba membobol security nasa (ini perlombaan resmi dari nasa) tapi gak dapet spotlight dari halayak ramai,ada anak indonesia yang berhasil menang dalam lomba membobol security nasa ini perlombaan resmi dari nasa tapi gak dapet spotlight dari halayak ramai
"polisi yg membuat statement sdh menangkap bjorka HARUSnya dihukum dan dipecat krn pembohongan thdp publik agar tidak terulang lagi. Klo jabatan humas polri CUMA membacakan hasil laporan, untuk apa diberi pangkat dan gaji tinggi TANPA resiko ????
Tentara di medan perang dg gaji tendah TAPI resikonya taruhan nyawa.
Harus sepadanlah antara jabatan, gaji dan resikonya.","polisi yg membuat statement sdh menangkap bjorka harusnya dihukum dan dipecat krn pembohongan thdp publik agar tidak terulang lagi. klo jabatan humas polri cuma membacakan hasil laporan, untuk apa diberi pangkat dan gaji tinggi tanpa resiko ????
tentara di medan perang dg gaji tendah tapi resikonya taruhan nyawa.
harus sepadanlah antara jabatan, gaji dan resikonya.",polisi yg membuat statement sdh menangkap bjorka harusnya dihukum dan dipecat krn pembohongan thdp publik agar tidak terulang lagi klo jabatan humas polri cuma membacakan hasil laporan untuk apa diberi pangkat dan gaji tinggi tanpa resiko tentara di medan perang dg gaji tendah tapi resikonya taruhan nyawa harus sepadanlah antara jabatan gaji dan resikonya
Kok ngk undang pakar telematika sang pengungkap video dan gambar pnas,kok ngk undang pakar telematika sang pengungkap video dan gambar pnas,kok ngk undang pakar telematika sang pengungkap video dan gambar pnas
😂😂😂😂 butuh prestasi,😂😂😂😂 butuh prestasi,butuh prestasi
"Kalau menurut saya sih bjorka sih kelompok bukan individu/sendiri jadi kalau misal sudah ada yg di tangkap iya mungkin dya salah satunya, n mudah2an bisa ketangkep semua karena sangat membahayakan","kalau menurut saya sih bjorka sih kelompok bukan individu/sendiri jadi kalau misal sudah ada yg di tangkap iya mungkin dya salah satunya, n mudah2an bisa ketangkep semua karena sangat membahayakan",kalau menurut saya sih bjorka sih kelompok bukan individusendiri jadi kalau misal sudah ada yg di tangkap iya mungkin dya salah satunya n mudahan bisa ketangkep semua karena sangat membahayakan
Polisi indo itu 2ong .😂😂😂😂😂,polisi indo itu 2ong .😂😂😂😂😂,polisi indo itu ong
Jadi ingat alur cerita death note L vs kira,jadi ingat alur cerita death note l vs kira,jadi ingat alur cerita death note l vs kira
"Gilak .. dar der dor.. fix om ded kepengen taunya pake banget ini .  Walhasil banyak ilmu yg didapet..
Thanks om ded dan tim . Udah ngundang orang yg keren begini..","gilak .. dar der dor.. fix om ded kepengen taunya pake banget ini .  walhasil banyak ilmu yg didapet..
thanks om ded dan tim . udah ngundang orang yg keren begini..",gilak dar der dor fix om ded kepengen taunya pake banget ini walhasil banyak ilmu yg didapet thanks om ded dan tim udah ngundang orang yg keren begini
Bjorkanya recall2 😂😂😂,bjorkanya recall2 😂😂😂,bjorkanya recall
prestasi polisi ada tidak.saya belum dengar yg membanggakan,prestasi polisi ada tidak.saya belum dengar yg membanggakan,prestasi polisi ada tidaksaya belum dengar yg membanggakan
Nah kalau ada mas satu ini pasti postingannya isinya daging semua wkwk 😌,nah kalau ada mas satu ini pasti postingannya isinya daging semua wkwk 😌,nah kalau ada mas satu ini pasti postingannya isinya daging semua wkwk
Ble'e bat dah.,ble'e bat dah.,blee bat dah
apple bakal naik daun nih,apple bakal naik daun nih,apple bakal naik daun nih
Doi lagi gali informasi tuh 😂,doi lagi gali informasi tuh 😂,doi lagi gali informasi tuh
Yaelah monyet pun tau kinerja kepolisian Indonesia😂,yaelah monyet pun tau kinerja kepolisian indonesia😂,yaelah monyet pun tau kinerja kepolisian indonesia
"Bobrok sistemnya
Bobrok penegak sistemnya
Bobrok rakyatnya
Jijik banget ma negara satu ini, pantes jadi bulan2an bangsa lain terus
Bangsa besar,kaya,kuat (ngakunya) tapi dimana mana cuma ngirim babu ke negara lain
Andai aku punya nuklir 38 biji ku jatohin ditiap provinsi negara ini","bobrok sistemnya
bobrok penegak sistemnya
bobrok rakyatnya
jijik banget ma negara satu ini, pantes jadi bulan2an bangsa lain terus
bangsa besar,kaya,kuat (ngakunya) tapi dimana mana cuma ngirim babu ke negara lain
andai aku punya nuklir 38 biji ku jatohin ditiap provinsi negara ini",bobrok sistemnya bobrok penegak sistemnya bobrok rakyatnya jijik banget ma negara satu ini pantes jadi bulanan bangsa lain terus bangsa besarkayakuat ngakunya tapi dimana mana cuma ngirim babu ke negara lain andai aku punya nuklir biji ku jatohin ditiap provinsi negara ini
"bjorka jelas2 di kamboja dia kang shell th, data2 yang dia dpt semua juga bs kita dapatkan andai ada tempat speak up ku beberkan semua cara hacker dptin dta2 tsb","bjorka jelas2 di kamboja dia kang shell th, data2 yang dia dpt semua juga bs kita dapatkan andai ada tempat speak up ku beberkan semua cara hacker dptin dta2 tsb",bjorka jelas di kamboja dia kang shell th data yang dia dpt semua juga bs kita dapatkan andai ada tempat speak up ku beberkan semua cara hacker dptin dta tsb
"Jika semua pejabat negara kerjanya amanah dan bener, memiliki aturan, norma, serta struktur sosial yang baik. Mungkin sebagian besar hacker indonesia tidak akan memusuhi pemerintah bahkan mungkin bisa jadi teman cyber yang bisa membantu keperluan pemerintah (Dalam hal-hal baik yang berguna untuk semua warga negara Indonesia).","jika semua pejabat negara kerjanya amanah dan bener, memiliki aturan, norma, serta struktur sosial yang baik. mungkin sebagian besar hacker indonesia tidak akan memusuhi pemerintah bahkan mungkin bisa jadi teman cyber yang bisa membantu keperluan pemerintah (dalam hal-hal baik yang berguna untuk semua warga negara indonesia).",jika semua pejabat negara kerjanya amanah dan bener memiliki aturan norma serta struktur sosial yang baik mungkin sebagian besar hacker indonesia tidak akan memusuhi pemerintah bahkan mungkin bisa jadi teman cyber yang bisa membantu keperluan pemerintah dalam halhal baik yang berguna untuk semua warga negara indonesia
Sragam coklat emang selawak itu kalo mau cari muka😂Bangun woy..jangn ke enakan jdi polisi tidur mulu🤣,sragam coklat emang selawak itu kalo mau cari muka😂bangun woy..jangn ke enakan jdi polisi tidur mulu🤣,sragam coklat emang selawak itu kalo mau cari mukabangun woyjangn ke enakan jdi polisi tidur mulu
Ada pertanyaan tentang hacker apakah mereka bisa bobol jaringan blockchain yang terdesentralisasi ga di podcast yang ini..,ada pertanyaan tentang hacker apakah mereka bisa bobol jaringan blockchain yang terdesentralisasi ga di podcast yang ini..,ada pertanyaan tentang hacker apakah mereka bisa bobol jaringan blockchain yang terdesentralisasi ga di podcast yang ini
banyak kasus pajak kendaraan mewah ditagih kerumah padahal rumahnya aja sederhana tapi namanya dipake buat kendaraan mewah,banyak kasus pajak kendaraan mewah ditagih kerumah padahal rumahnya aja sederhana tapi namanya dipake buat kendaraan mewah,banyak kasus pajak kendaraan mewah ditagih kerumah padahal rumahnya aja sederhana tapi namanya dipake buat kendaraan mewah
Om ded kayaknya lagi gali gali nih,om ded kayaknya lagi gali gali nih,om ded kayaknya lagi gali gali nih
"Bang Bjorkaa,,,Tolong Bocorkan data² pencuri uang rakyat donk,,,😂😅
Biar pd Insaf,,,,","bang bjorkaa,,,tolong bocorkan data² pencuri uang rakyat donk,,,😂😅
biar pd insaf,,,,",bang bjorkaatolong bocorkan data pencuri uang rakyat donk biar pd insaf
Smoga cepat sadar la tu org korup kalau data itu penting 😸,smoga cepat sadar la tu org korup kalau data itu penting 😸,smoga cepat sadar la tu org korup kalau data itu penting
Bang jgn bilang lu bjorka 😅 😂😂 abang nya kliatan pinter soalnya,bang jgn bilang lu bjorka 😅 😂😂 abang nya kliatan pinter soalnya,bang jgn bilang lu bjorka abang nya kliatan pinter soalnya
Ini abang narsum ini siapa ya ?,ini abang narsum ini siapa ya ?,ini abang narsum ini siapa ya
"Hai Indonesia,!!! Saya bjorka dan saya masih sehat, damai, sejahtera disini, dan saya sudah di transfer uang oleh ketua Cyber security Indonesia.","hai indonesia,!!! saya bjorka dan saya masih sehat, damai, sejahtera disini, dan saya sudah di transfer uang oleh ketua cyber security indonesia.",hai indonesia saya bjorka dan saya masih sehat damai sejahtera disini dan saya sudah di transfer uang oleh ketua cyber security indonesia
"""Karena selama ini polisi ga ada prestasi"" Wkwkwkwk gawat bisa2 dituntut pencemaran nama baik. Tapi tenang, pencemaran nama baik tidak berlaku untuk institusi. Bahkan ga perlu dihina pun instansi berseragam itu udah menghinakan diri mereka sendiri.","""karena selama ini polisi ga ada prestasi"" wkwkwkwk gawat bisa2 dituntut pencemaran nama baik. tapi tenang, pencemaran nama baik tidak berlaku untuk institusi. bahkan ga perlu dihina pun instansi berseragam itu udah menghinakan diri mereka sendiri.",karena selama ini polisi ga ada prestasi wkwkwkwk gawat bisa dituntut pencemaran nama baik tapi tenang pencemaran nama baik tidak berlaku untuk institusi bahkan ga perlu dihina pun instansi berseragam itu udah menghinakan diri mereka sendiri
mana mungkin ladusing dgn kecerdasan rata-rata dibawah satpam bank bisa nangkep hacker sekelas Bjorka???,mana mungkin ladusing dgn kecerdasan rata-rata dibawah satpam bank bisa nangkep hacker sekelas bjorka???,mana mungkin ladusing dgn kecerdasan ratarata dibawah satpam bank bisa nangkep hacker sekelas bjorka
Mana yang di tangkap udah Viral banget lagi di kampung,mana yang di tangkap udah viral banget lagi di kampung,mana yang di tangkap udah viral banget lagi di kampung
Kita berharap Byorka membocorkan aliran dana2 BUMN 😂😂😂😂,kita berharap byorka membocorkan aliran dana2 bumn 😂😂😂😂,kita berharap byorka membocorkan aliran dana bumn
57:21 saya pake Shopee 🗿,57:21 saya pake shopee 🗿,saya pake shopee
Polisi Indonesia keren 😆,polisi indonesia keren 😆,polisi indonesia keren
Drama mulu ah pak polisi 😂,drama mulu ah pak polisi 😂,drama mulu ah pak polisi
Lulusan SMA suruh nangkep hacker wkwkwk,lulusan sma suruh nangkep hacker wkwkwk,lulusan sma suruh nangkep hacker wkwkwk
apa iyaa abg ini bjorka nya ? gak kan hhaha,apa iyaa abg ini bjorka nya ? gak kan hhaha,apa iyaa abg ini bjorka nya gak kan hhaha
Kenapa narasumber y nggak ditangkep polisi aja gebukin biar bonyok suruh kasih tau bjorka dimana kata y dia tau,kenapa narasumber y nggak ditangkep polisi aja gebukin biar bonyok suruh kasih tau bjorka dimana kata y dia tau,kenapa narasumber y nggak ditangkep polisi aja gebukin biar bonyok suruh kasih tau bjorka dimana kata y dia tau
Ternyata yang di tangkep Bjirka🤣,ternyata yang di tangkep bjirka🤣,ternyata yang di tangkep bjirka
bjorka nonton sambil senyum senyum,bjorka nonton sambil senyum senyum,bjorka nonton sambil senyum senyum
Mana mungkin hacker bjorka bisa ditangkap kan iqnya lebih tinggi daripada polisi😂😂😂😂,mana mungkin hacker bjorka bisa ditangkap kan iqnya lebih tinggi daripada polisi😂😂😂😂,mana mungkin hacker bjorka bisa ditangkap kan iqnya lebih tinggi daripada polisi
mntp,mntp,mntp
Yakin saya akun bjorka banyak yg pegang,yakin saya akun bjorka banyak yg pegang,yakin saya akun bjorka banyak yg pegang
😂😂😂😃😃😃al jancuk i wal nggateli.byo tertawa lepas dg itu.jangankan indigo sang halu menemukan byo😂😂😂. orang sakti bahkan wali Al pokeh waljamaah pun tidak bisa menemukan susilohadi.mau menemukan byo.yang setiap hari makanya ratusan juta perporsi dg komputer jaringan tak tersentuh seharga triliun per set.bahkan ditemukan di Indonesia 😀😀😀.dukun dan wali Indonesia kalau gak nipu yaa cabul apalagi sang halu,😂😂😂😃😃😃al jancuk i wal nggateli.byo tertawa lepas dg itu.jangankan indigo sang halu menemukan byo😂😂😂. orang sakti bahkan wali al pokeh waljamaah pun tidak bisa menemukan susilohadi.mau menemukan byo.yang setiap hari makanya ratusan juta perporsi dg komputer jaringan tak tersentuh seharga triliun per set.bahkan ditemukan di indonesia 😀😀😀.dukun dan wali indonesia kalau gak nipu yaa cabul apalagi sang halu,al jancuk i wal nggatelibyo tertawa lepas dg itujangankan indigo sang halu menemukan byo orang sakti bahkan wali al pokeh waljamaah pun tidak bisa menemukan susilohadimau menemukan byoyang setiap hari makanya ratusan juta perporsi dg komputer jaringan tak tersentuh seharga triliun per setbahkan ditemukan di indonesia dukun dan wali indonesia kalau gak nipu yaa cabul apalagi sang halu
yang pinter hack biasnya nilai teorinya kurang bagus... sehingga kurang mem peroleh pekerjaan sesuai di badangnya.. karena setandarnya dalam melamar kerja nilai teori.. sebagai pertama penyaringan (bener ga sih? bertanya dalam nada penasaran.),yang pinter hack biasnya nilai teorinya kurang bagus... sehingga kurang mem peroleh pekerjaan sesuai di badangnya.. karena setandarnya dalam melamar kerja nilai teori.. sebagai pertama penyaringan (bener ga sih? bertanya dalam nada penasaran.),yang pinter hack biasnya nilai teorinya kurang bagus sehingga kurang mem peroleh pekerjaan sesuai di badangnya karena setandarnya dalam melamar kerja nilai teori sebagai pertama penyaringan bener ga sih bertanya dalam nada penasaran
Polisi bikin lelucon😂,polisi bikin lelucon😂,polisi bikin lelucon
"17:54 Mungkin polisi gak ada prestasi, tp butuh. 😅😅😅","17:54 mungkin polisi gak ada prestasi, tp butuh. 😅😅😅",mungkin polisi gak ada prestasi tp butuh
"Polela kerja caper cuma foto doang kerja nyata NOL MAIN ANI SNI CEPAT DIMANANA DASAR BANGKE ,MANYALAHGUNAKAN HUKUM DEMI UANG MAKANYA PERUT NYA BUNCIT KATAK KENDIL","polela kerja caper cuma foto doang kerja nyata nol main ani sni cepat dimanana dasar bangke ,manyalahgunakan hukum demi uang makanya perut nya buncit katak kendil",polela kerja caper cuma foto doang kerja nyata nol main ani sni cepat dimanana dasar bangke manyalahgunakan hukum demi uang makanya perut nya buncit katak kendil
bang ajarin  jadi hacker dong😅,bang ajarin  jadi hacker dong😅,bang ajarin jadi hacker dong
bang ajarin  jadi hacker dong😅,bang ajarin  jadi hacker dong😅,bang ajarin jadi hacker dong
bang ajarin  jadi hacker dong😅,bang ajarin  jadi hacker dong😅,bang ajarin jadi hacker dong
Mamtab... orang2 kyk gini yg harusnya masuk di dunia pemerintahan,mamtab... orang2 kyk gini yg harusnya masuk di dunia pemerintahan,mamtab orang kyk gini yg harusnya masuk di dunia pemerintahan
BJORKA PAHLAWAN,bjorka pahlawan,bjorka pahlawan
"Dikadalin atau ""kadalin diri sendiri"" ?? 😅😅😅","dikadalin atau ""kadalin diri sendiri"" ?? 😅😅😅",dikadalin atau kadalin diri sendiri
Bang lo teralalu bocor sama om ded dy ngulik,bang lo teralalu bocor sama om ded dy ngulik,bang lo teralalu bocor sama om ded dy ngulik
Beban doang mana bisa kerja egeeee🤣🤣,beban doang mana bisa kerja egeeee🤣🤣,beban doang mana bisa kerja egeeee
Wadidaww,wadidaww,wadidaww
Bjorka itu kalo pada belum tau adalah roy suryo kalian belum pada sadar kan,bjorka itu kalo pada belum tau adalah roy suryo kalian belum pada sadar kan,bjorka itu kalo pada belum tau adalah roy suryo kalian belum pada sadar kan
"Polisi mau cari kepala bahaya""
Di cari buat kambing hitam
Nutupin biar gk ketauan gk bisa kerja ny
Gaya nya cuma nampang pake kacamata selfi di jalan bukan ny ngatur lalu lintas😅😅😅","polisi mau cari kepala bahaya""
di cari buat kambing hitam
nutupin biar gk ketauan gk bisa kerja ny
gaya nya cuma nampang pake kacamata selfi di jalan bukan ny ngatur lalu lintas😅😅😅",polisi mau cari kepala bahaya di cari buat kambing hitam nutupin biar gk ketauan gk bisa kerja ny gaya nya cuma nampang pake kacamata selfi di jalan bukan ny ngatur lalu lintas
